07-09 14:58:34.929 11040 11070 D OneSignal: OneSignal SDK initialization already completed.
07-09 14:58:35.217 11040 11070 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.q
07-09 14:58:35.218 11040 11069 I zygote  : Deoptimizing void com.facebook.react.uimanager.x0.e(java.util.Map, java.util.Map) due to JIT inline cache
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:19195)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18142)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.facebook.react.y.dispatchDraw(Unknown Source:0)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
